ID,Severity,Start_Lat,Start_Lng,cluster
A-3136,2,37.374687,-121.93221299999999,6
A-3137,2,38.651775,-121.38294199999999,6
A-3146,2,38.044559,-120.647003,6
A-3159,3,37.673382000000004,-122.46822399999999,6
A-3160,2,37.752502,-122.40300800000001,6
A-3165,3,37.320629,-121.995506,6
A-3233,2,37.797649,-121.448936,6
A-3235,3,37.788021,-121.30093400000001,6
A-3272,2,37.75015300000001,-121.13865700000001,6
A-3275,3,37.718925,-121.66210900000002,6
A-3305,3,37.825396999999995,-122.304802,6
A-3309,2,38.549797,-122.810722,6
A-3318,2,38.21200200000001,-122.54924799999999,6
A-3334,3,37.563477,-122.03858899999999,6
A-3344,2,38.423725,-121.395569,6
A-3353,3,37.343281,-121.84701499999998,6
A-3371,2,38.635490000000004,-121.34599299999999,6
A-3373,3,37.627132,-122.43092299999999,6
A-3381,3,37.948761,-121.294716,6
A-3396,3,37.698124,-121.940643,6
A-3430,2,37.996586,-121.31476599999999,6
A-3443,2,38.699871,-122.89483600000001,6
A-3483,2,37.461899,-122.269608,6
A-3508,3,37.742306,-121.53131100000002,6
A-3511,2,38.553822,-121.40943100000001,6
A-3513,2,37.399925,-122.032677,6
